client : consumer11 , topic: result01 , partition: 0 , offset = 0, key = phone, value = OrderItem [itemName=iphone, quantity=3, windowStart=1478818805000, windowEnd=1478822405000, category=phone, price=5388.88, total=16166.64], timestamp = 1478818805000 
client : consumer11 , topic: result01 , partition: 0 , offset = 1, key = pad, value = OrderItem [itemName=ipad, quantity=4, windowStart=1478818805000, windowEnd=1478822405000, category=pad, price=4888.88, total=19555.52], timestamp = 1478818805000 
client : consumer11 , topic: result01 , partition: 0 , offset = 2, key = watch, value = OrderItem [itemName=iwatch, quantity=5, windowStart=1478818805000, windowEnd=1478822405000, category=watch, price=2668.88, total=13344.400000000001], timestamp = 1478818805000 
client : consumer11 , topic: result01 , partition: 0 , offset = 3, key = pod, value = OrderItem [itemName=ipod, quantity=4, windowStart=1478818805000, windowEnd=1478822405000, category=pod, price=1888.88, total=7555.52], timestamp = 1478818805000 
client : consumer11 , topic: result01 , partition: 0 , offset = 4, key = pad, value = OrderItem [itemName=ipad, quantity=7, windowStart=1478818810000, windowEnd=1478822410000, category=pad, price=4888.88, total=34222.16], timestamp = 1478818810000 
client : consumer11 , topic: result01 , partition: 0 , offset = 5, key = watch, value = OrderItem [itemName=iwatch, quantity=9, windowStart=1478818810000, windowEnd=1478822410000, category=watch, price=2668.88, total=24019.920000000002], timestamp = 1478818810000 
client : consumer11 , topic: result01 , partition: 0 , offset = 6, key = phone, value = OrderItem [itemName=iphone, quantity=5, windowStart=1478818810000, windowEnd=1478822410000, category=phone, price=5388.88, total=26944.4], timestamp = 1478818810000 
client : consumer11 , topic: result01 , partition: 0 , offset = 7, key = pod, value = OrderItem [itemName=ipod, quantity=7, windowStart=1478818810000, windowEnd=1478822410000, category=pod, price=1888.88, total=13222.16], timestamp = 1478818810000 
client : consumer11 , topic: result01 , partition: 0 , offset = 8, key = pad, value = OrderItem [itemName=ipad, quantity=9, windowStart=1478818815000, windowEnd=1478822415000, category=pad, price=4888.88, total=43999.92], timestamp = 1478818815000 
client : consumer11 , topic: result01 , partition: 0 , offset = 9, key = watch, value = OrderItem [itemName=iwatch, quantity=12, windowStart=1478818815000, windowEnd=1478822415000, category=watch, price=2668.88, total=32026.56], timestamp = 1478818815000 
client : consumer11 , topic: result01 , partition: 0 , offset = 10, key = phone, value = OrderItem [itemName=iphone, quantity=9, windowStart=1478818815000, windowEnd=1478822415000, category=phone, price=5388.88, total=48499.92], timestamp = 1478818815000 
client : consumer11 , topic: result01 , partition: 0 , offset = 11, key = pod, value = OrderItem [itemName=ipod, quantity=10, windowStart=1478818815000, windowEnd=1478822415000, category=pod, price=1888.88, total=18888.800000000003], timestamp = 1478818815000 
client : consumer11 , topic: result01 , partition: 0 , offset = 12, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818820000, windowEnd=1478822420000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818820000 
client : consumer11 , topic: result01 , partition: 0 , offset = 13, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818825000, windowEnd=1478822425000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818825000 
client : consumer11 , topic: result01 , partition: 0 , offset = 14, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818830000, windowEnd=1478822430000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818830000 
client : consumer11 , topic: result01 , partition: 0 , offset = 15, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818835000, windowEnd=1478822435000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818835000 
client : consumer11 , topic: result01 , partition: 0 , offset = 16, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818840000, windowEnd=1478822440000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818840000 
client : consumer11 , topic: result01 , partition: 0 , offset = 17, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818845000, windowEnd=1478822445000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818845000 
client : consumer11 , topic: result01 , partition: 0 , offset = 18, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818850000, windowEnd=1478822450000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818850000 
client : consumer11 , topic: result01 , partition: 0 , offset = 19, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818855000, windowEnd=1478822455000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818855000 
client : consumer11 , topic: result01 , partition: 0 , offset = 20, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818860000, windowEnd=1478822460000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818860000 
client : consumer11 , topic: result01 , partition: 0 , offset = 21, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818865000, windowEnd=1478822465000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818865000 
client : consumer11 , topic: result01 , partition: 0 , offset = 22, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818870000, windowEnd=1478822470000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818870000 
client : consumer11 , topic: result01 , partition: 0 , offset = 23, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818875000, windowEnd=1478822475000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818875000 
client : consumer11 , topic: result01 , partition: 0 , offset = 24, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818880000, windowEnd=1478822480000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818880000 
client : consumer11 , topic: result01 , partition: 0 , offset = 25, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818885000, windowEnd=1478822485000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818885000 
client : consumer11 , topic: result01 , partition: 0 , offset = 26, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818890000, windowEnd=1478822490000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818890000 
client : consumer11 , topic: result01 , partition: 0 , offset = 27, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818895000, windowEnd=1478822495000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818895000 
client : consumer11 , topic: result01 , partition: 0 , offset = 28, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818900000, windowEnd=1478822500000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818900000 
client : consumer11 , topic: result01 , partition: 0 , offset = 29, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818905000, windowEnd=1478822505000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818905000 
client : consumer11 , topic: result01 , partition: 0 , offset = 30, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818910000, windowEnd=1478822510000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818910000 
client : consumer11 , topic: result01 , partition: 0 , offset = 31, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818915000, windowEnd=1478822515000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818915000 
client : consumer11 , topic: result01 , partition: 0 , offset = 32, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818920000, windowEnd=1478822520000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818920000 
client : consumer11 , topic: result01 , partition: 0 , offset = 33, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818925000, windowEnd=1478822525000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818925000 
client : consumer11 , topic: result01 , partition: 0 , offset = 34, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818930000, windowEnd=1478822530000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818930000 
client : consumer11 , topic: result01 , partition: 0 , offset = 35, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818935000, windowEnd=1478822535000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818935000 
client : consumer11 , topic: result01 , partition: 0 , offset = 36, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818940000, windowEnd=1478822540000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818940000 
client : consumer11 , topic: result01 , partition: 0 , offset = 37, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818945000, windowEnd=1478822545000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818945000 
client : consumer11 , topic: result01 , partition: 0 , offset = 38, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818950000, windowEnd=1478822550000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818950000 
client : consumer11 , topic: result01 , partition: 0 , offset = 39, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818955000, windowEnd=1478822555000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818955000 
client : consumer11 , topic: result01 , partition: 0 , offset = 40, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818960000, windowEnd=1478822560000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818960000 
client : consumer11 , topic: result01 , partition: 0 , offset = 41, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818965000, windowEnd=1478822565000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818965000 
client : consumer11 , topic: result01 , partition: 0 , offset = 42, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818970000, windowEnd=1478822570000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818970000 
client : consumer11 , topic: result01 , partition: 0 , offset = 43, key = pod, value = OrderItem [itemName=ipod, quantity=13, windowStart=1478818975000, windowEnd=1478822575000, category=pod, price=1888.88, total=24555.440000000002], timestamp = 1478818975000 
